Chat room,Link to chat room,Memo,Summary with BART,Length BART (words),Number of users,Number of messages,Age in months,Messages per month,Messages per user,Messages per (user x age),Type of chat room,Type of discussion,Year,Theme_01,Theme_02,Theme_03
semantic-release/semantic-release,https://gitter.im/semantic-release/semantic-release,"Members discuss about how to use; hints and problems related to Semantic-release. ""semantic-release automates the whole package release workflow including: determining the next version number; generating the release notes and publishing the package."" - https://semantic-release.gitbook.io/semantic-release/. They moved to Spectrum (https://spectrum.chat/semantic-release)",['@evansiroky I prefer using this module just because we use it also in all our other SDKs we provide This allows us to keep a basic setup through all these tools without exceptions Only in case I dont get it working I will for sure think about switching to your module ty for the follow up @pvdlg I made a blog about using semanticrelease focusing on nonnpm based builds httpshodgkinsioautomatingsemanticversioning Would love to know any feedback   Look through the pull requests since last release and determine if this will be a major minor or patch release. Name your artifacts somewhere with the new version number and store them somewhere Repetion of somewhere Plugins in the article are referenced by both their long name @semanticreleasegithub and short name GitHub Either or works but maybe it could be consistent In the Installation chapter maybe you can mention that node need to be installed also on the CI that will run semanticrelease its usually the case by default for most CI. You can also mentionned that Nodejs 83 is the minimum version required Instead of having a prepareCmd that both update the version and publish it would probably be better to have a prepareCommand and a publishCommand. The publishCommand is executed after the tag is pushed to the repo and would prevent situation where you publish something but fail to create the tag. Creating the tag but failing to publish is probably an easier situation to recover from as the tag can be removed while most package manager do not allow to remove releases. As part of your build process run the npx semanticrelease command where it suits you which will start the release process. You should be more specific here semanticrelease has to be run after you run all the tests and they pass successfully You dont want to release something that doesnt pass your test suite Also I dont know if you saw that but there is a part about nonJS projects in httpsgithubcomsemanticreleasesemanticreleaseblobcariboudocsrecipestravisbuildstagesmdtravisymlconfigurationfornonjavascriptprojects  Other than that it looks good Thanks will update with your feedback  Fixed 1  Hi I have tried to perfsomething something but the minor version got bumped while I expect to have thre major version bumped. Ive updated the module to the latest GHTOKEN is valid all all all   Ive just tested it as soon as it crash again I cross finger finger the cache button also clear the clear cache button.'],405,183,4868,39,124.82,26.60,0.68,Project,Tools,2015,Software deployment,Release,
senecajs/seneca-in-practice,https://gitter.im/senecajs/seneca-in-practice,Members discuss about how to use; hints and problems related to Seneca that is a microservices toolkit for Node.js - http://senecajs.org/,['Big changes coming to the docs they are in need of samples so I think whatever updates we do to get samples working for this should probably make it back into the docs proper. Added first VERY DRAFT version of sum exercisewhich do not work for the seneca log  we must skip senecalog in exercise output for output compare. Fixed the Seneca log issue so guys you can try the first exercise  Ill give this a shot ober the weekend Great The first 3 exercices sum plugin client should be done Now we need a beta tester  I can get Oisin to try it out after lunch how to run different microservices on different machines using seneca esh mesh Hi I am trying out senecajs I would love to use hapi plugins along with it Any references Hi @Vasanthrajan the plugin that youre looking for is chairo  if you have query about seneca in general i suggest you to refer to seneca jitter chat room httpsgitterimsenecajsseneca can you tell me how to pass value using post request   can anyone  Hello i need to implement long running process via amqp could u please give me some advice Helllo Nevermind this is probably the wrong room Hi guys I have a question about the best practice Im moving the logic of some endpoints to Seneca services. How we can know how many concurrent call can be done in seneca? I have many types of userslike admin superadmin etc Im thinking about running one senecauser micro service to which specific user microservices talk to. But for that instead of configuring user attributes using defaultoptionsjson the user microservice has to be adapting according to the microservice making the call because fields change across those services. Do you know how to get an image from the webcam activate and stop the cam or the micro Does anyone know how this can bedone @jamaikarima senecjs has nothing to do with that stuff. If you want to access a webcam you cantry httpspixlcorereadWebcamJS. If your code server can process that further you can enable plugins like web to create a api thanks to web. I want to write a seneca microservice to convert an output to pdf and send it to a specific server instead of the database. Could you help me organize side with a specific specific microservice? If you have a bunch of issues  could you send it a specific reply asOapal3 could help me create a microservice with four endpoints.'],416,54,76,29,2.62,1.41,0.05,Topic,Libraries,2015,Microservices,Coding,
simpleinvoices/simpleinvoices,https://gitter.im/simpleinvoices/simpleinvoices,The conversation is too short to indicate what is going on there. Website: https://simpleinvoices.io/G30; GitHub: https://github.com/simpleinvoices/simpleinvoices. There are only 15 messages from April 2016 to March 2018.,['SimpleInvoices is written for PHP 53 and there has been massive changes between PHP 53. and PHP 54. You will need to enable all logging and debug as you go to get SI to work with PHP 7. Please feel free to Fork and share your changes of GitHub. I might be interested in maintaining a fork Unless @justinkelly is really interested in accepting all new code into the main repo. We could ask in Google groups if others then want to commit their rejected requests to my new fork as well. Maybe we could start a new community like this anyone here anyone here Hello I want to ask if using the stable version of si has security risks  20111 Thank you @grousso Probably there are some security risks Some other users once commited security bug fixes but I think they were never accepted. Is Simple Invoices still in active development or abandoned? @JPGConsulting I may be reconsidering switching to NinjaInvoices as it will be more active than my fork or even splitting projects as it seems this will get outdated until its dead. @jPGconsulting   \xa0 \xa0\xa0\xa0I think that this type of discussion should occur in the support community httpsplusgooglecomu0communities102476804981627142204 The issue is PHP7 SI was written forPHP53 and there have beenmassive changes betweenPHP 53 andPHP 54 let alone PHP 56 orPH 7. Ive ported most of the code to get it working on PHP 54 Including 70 but there is no way to share them as they all get banned stating that Simple invoices is in Legacy mode and should support PHP 53 or lower. \xa0Although it is almost ported \xa0I might be considering switching  to Ninjainvoices  as it is more active\xa0than my fork\xa0and\xa0it seems this\xa0will get outdated\xa0until\xa0its\xa0dead.\xa0I\xa0might be\xa0reconsidering\xa0 switching\xa0to Ninja Invoicing as it\xa0will be more\xa0active\xa0than\xa0my fork or\xa0even splitting projects\xa0as it seems\xa0this will get\xa0outdated\xa0until its\xa0dying.\xa0It is almost\xa0possible\xa0to switch\xa0to\xa0ninja\xa0Invoice\xa0and \xa0it\xa0will\xa0be more\xa0stable\xa0 than my\xa0fork\xa0and will\xa0be\xa0more\xa0available\xa0to use\xa0in the future. I\xa0might\xa0be interested in switching to\xa0Ninja Invoice as\xa0it will be\xa0more active than\xa0my\xa0firmware\xa0and it will\xa0have\xa0more features.'],332,164,20,23,0.87,0.12,0.01,Project,Products,2016,Web development,,
snipe/snipe-it,https://gitter.im/snipe/snipe-it,Members discuss experiences and issues related to the use of Snipe-IT - https://snipeitapp.com/ ,['@serkanuzuner Let me guess not sync properly Set Base DN properly and try again Thanks no i want to know does ad sync also get data about computers logged on users etc. we want to auto match logged on Users to computers something like sccm userdevice affinity im not sure this is possible  Hey Fresh SnipeIT docker installation Im getting this error Whoops looks like something went wrong error @ apache log file accesscompaterror pid 496 client 172170160872 AH01797 client denied by server configuration varwwwhtmlpublicenv any suggestions NM I managed to solve it by editing apache2conf Location Allow from all Order DenyAllow Location hello very quick question if anyone has a chance to look at httpsgithubcomsnipesnipeitissues7175 I would appreciate any pointers they have especially if Im doing something obviously wrong @spencerdahua Afaik you have do separate on company level to have admins that are separate from each other For example managing usersassets without other admins getting access @peterfarley85 what directory are you in @dmeltzer Thanks for your help I am currently in the homesnipeitsnipe it directory. Ive also used the web based importer and it loads all the fields during import but when i click on process nothing happens it sits there saying processing but never goes away and the assets do not get imported I am using the sample csv from the snipeit documentation without any changes @NiklasNord thanks for the response i figured it out from documentation have to enable Full Multiple Companies Support in admin settings ok after spending a few hours trying to figure this out im at a loss of how to fix it I might just have to manually input all assets but im worried there might be something wrong with my installation  Im wondering if its a permissions issue  I also tried to update Snipeit but when I run php upgrading I get this error Could not open input file upgradephp managed to get the csv file imported and received the All items imported successfully prompt however nothing shows up in my web ui. I created a ticket in hopes that it makes things a bit clearer and to stop spamming this poor channel @muyuanhong Can a user acknowledge an asset delivery email without signing in Trying to import users and auto generating user names when I omit the username field I get an error The strange thing is that the error is in Swedish even though Snipe IT is set to english.'],410,1808,72178,52,1388.04,39.92,0.77,Topic,Products,2015,Web development,,
sorintlab/stolon,https://gitter.im/sorintlab/stolon,Members discuss the development and maintenance of Stolon; so they refer Github issues. Stolon is a tool for cloud computing. It is offered by the organization SorintLab. More info and documentation - https://github.com/sorintlab/stolon,"[""Hi All Has anyone tried doing pgupgrade95 with rsync to slaves and getting stolon NOT to resync the slaves What makes Stolon cloud ready Hi how i can setup backups using wale to s3 Do I need to build custom docker image for that @gmldba maybe because its kubernetes native Ok got it Seems that I have same issue as @qasimmaqbool I get messages in a loop pgbasebackup could not receive data from WAL stream server closed the connection unexpectedly This probably means the server terminated abnormally before or while processing the request. If youre asking about the first logs you pasted quite probably running stgres cannot be started as root. If this is the case, it is due to laziness. But now the keeper still does not want to be updated. I just don't know where else to look to look for a solution to this problem. Thanks for your help. My mistake really helped Myiness really helped my mistake really help Myiness. I'm sorry for my mistake. I don't want to do this again. I'll try to be more careful from now on. Thanks again for all your help and support. I love you all very much. I hope to hear from you again soon. \xa0@SolomonAlex just pasting logs and asking random questions cannot help us to help you.   \xa0â€œI just donâ€™t want to look at the logs and ask random questions.â€   â€œIâ€™m sorry. Iâ€™ll try to stay away from the logs.â€™  â€  â€˜I just want to know where to lookâ€™. â€˜Whatâ€™s the problem?â€™ â€˜How can I fix it?' â€˜Can you help me with this?' â€™I just need to know what the problem is.â€˜â€™ I just want you to help me figure out how to fix itâ€™\xa0â€™â€™I want to try to fix this. I would like to know how I can make this work. â€™â€ â€˜If youâ€™re not sure what to do, try to figure it out. I want to make it work for me.' â€˜Please help me by telling me what you think I should do.' â€™'What is the problem?'  â€™Please tell me what it is.' 'What is it?'  'I just have no idea.' 'How do I get it working?'""]",363,180,2163,39,55.46,12.02,0.31,Topic,Tools,2016,Cloud computing,,
sourcejs/Source,https://gitter.im/sourcejs/Source,"Members discussed how to use this source. This project is on HOLD. ""SourceJS powered workflow allows developers to code new components directly in the documentation. Combining web components development with documentation and team communication processes; makes SourceJS a powerful tool for Front-end developers and designers."" - https://github.com/sourcejs/Source",['Alrighty its possible to do a proxy npm dep that will decide whether to download babel or not Great testing npm installs got me throttled semibanned on the network or something  D So I ran npm install before going to lunch and it was just finished when I got back  New PR incoming doing this  Screen Shot 20160610 at 151921pnghttpsfilesgitterimsourcejsSourceVPbmthumbScreenShot20160610at151921PNghttPSfiles gitterimSourcejsSourcevpbm screen shot  screen shot screen shot. screen shotScreenShot. screenshot. screen Shot. screenShot. Screen Shot. Screen shot. ScreenShot.Screen Shot. This is a step towards closing 225 223  clap  Hi I am trying to include a template in my index.srchtml for a spec includeinfoappTemplates forminputshtml isError false value Philip Instead of writing userassetsapp.Templates I would like to pass in the user inside of the info.json spec level such as title Source Living Style Guide on Steroids role navigation appTemplates. appCss sourceuserassetscssappcss. However I receive an error such as ENOENT no such file or directory UsersmeDocumentsresponsiveprototypesourcejsuserspecs inputsuserassetsapp Templatesforminputshtml. What am I doing wrong @pmontesinos I will be on vacation till 1107 so wont be able to answer questions till then Please ping @ndelangen or just place your questions here so anybody else could help you with them Hello I wanted to ask if anyone else has a problem where includeFiles wont work with a glob star if you use it after including other files. We didnt modify the source we just set it up Right now I dont have a way of replicating Can you share your setup Perhaps its one of the imports  Our setup is as vanilla as can be Is it possible for me to get the information you need without having access to the computer hosting the site? If you can share the code youve written doing the imports in a bug report I can probably take it on from there Ok Ok I submitted the issue Can I ask you about the search bar while Im here Specifically can you tell me how to find the files that handle the searching I want to try to modify them to search headings in addition to page titles just tried pulling down my sources onto a different repository onto a Different repository and when I update it I get the following.'],372,71,732,24,30.50,10.31,0.43,Topic,Tools,2014,Graphical user interface,,
spring-cloud/spring-cloud-security,https://gitter.im/spring-cloud/spring-cloud-security,Members discuss about hints; problems and how to use resources of Spring cloud,['Upgraded from Spring Boot 153 201 and Spring Cloud Netflix Dependencies 200RC1 Spring Cloud Dependencies FinchleyRC1 Previously my API Gateway had a custom filter defined before the SecurityContextPersistenceFilter This custom filter did some token issuer whitelisting verification multitenancy extraction from the token etc After upgrading to the latest version of Spring Cloud this filter is not recognized anymore. I would like to know the use case of implementing ClientDetails and ClientDetailsService to make a custom client details configuration. Also I want to know what are the resource IDs and when to use them. Hi all What is the best way of implementing multi factor authenticationfor example sms onetimepassword during OAuth2 flows password flowfor first party mobile application implicit flowfor SPA Thanks  Hi can someone tell me if the resource server and authorization server configuration are supposed to run on the same post as the same application or these two can be in different application or ts there any best practice Its depends on your architecture choices If we are talking about microservices I suggest you to split it yes my choice is microservice architecture. I tried to design a react application running on another spring boot application working as the client web app but I couldnt make it work for me worried  access token can be 2 types opaque random string jWT contains user and authorities info see httpsjwtio example if you use jwtio resource server resource server needs it approach I think better one service can validate jwt token independently the opaque access can be cause of authorization server bottleneck. So I didnt understand how about the auth server scenario with a multifactor authentication implementation with a JWT token. So this makes more sense  so in this case once the user is authorized he need not authorize any more once the system is more secure. If you have several microservices used in one request processing each microservices should ask the authorization server is access token is valid so if you want to use 5 microservices you need to use one process for each request. So if you have five microservices use one processing each request in each request processing one each request for each microservice. I have custom TokenExtractors TokenParsers and just need to prepend the filterchain with a custom auth filter again and not use the default filter with default TokenExt extractors Will check how to customize the chain  @dsyer I would likes to know  how about a good example where 2 applications are containing authorization server config and resource server configuration and communicating between each other to exchange the token.'],433,385,3456,54,64.00,8.98,0.17,Topic,Frameworks,2015,Security,Distributed software development,
spring-projects/spring-security,https://gitter.im/spring-projects/spring-security,Members discuss about hints; problems and how to use resources of Spring security,"[""@xenoterracide I am not sure how to use the keys after I make a servlet and establish an http connection hi guys I have problem when try use RedisTokenStore when clientId has a hyphen anyone knows about this I change the code to this and works fine byte clientId serializeKeyCLIENTIDTOACCESS authenticationgetOAuth2RequestgetClientIdreplace  Hi Right now I try to add httpsdocsspringiospringsecuritysitedocs515RELEASEreferencehtmlsinglepreauth as a new possible way to authenticate users. To fetch the token I have to read a provided cookie Which parts do I need to provide to get such a setup in a Spring Boot application up and running? I think Im missing one little step of plumbing here so that everything works together. @dsyer Hi I am using springsecurityoauth2 I am sending a request but I am getting the only previous token until the token has expired. But I dont need getting a single token for a user I want to get a new token for every request This for multiple users session The problem is when I get a token I use it in a device But I have multiple devices with a single account If I Want to log outinvalidate the token All my sessions are logging out This is not a suitable way @Nasibulloh You can implement your own AuthenticationKeyGenerator. The uniqueness of this key determines if same or new access token will be used. I am stuck at when authentication exception occur at loginfilter then method of LoginFilterjava. I don't want this to executed on exception because if user enter wrong user and pass then i want to send response from LoginFilter LoginFilter. We are currently using wSO2 identity management and SSO integration with ADFS Planso2 for access management and integration with SSO planso2. With Spring Security 5 we are looking at some kind of open source access management access management management. Any thoughts  we are open source  with Spring 5 can give all functionality all functionality    We are looking  at  open source identity management accessmanagement access management\xa0 management\xa0management\xa0planso2  \xa0We are currently  using wso2\xa0identity management access\xa0management  Planso 2 \xa0we are looking\xa0at some kind\xa0of open source\xa0access management management\xa0plan so  we can give  all functionality\xa0all functionality \xa0with Spring 5.""]",361,951,15890,47,338.09,16.71,0.36,Topic,Frameworks,2015,Security,,
spring-projects/spring-security-oauth,https://gitter.im/spring-projects/spring-security-oauth,Members discuss about hints; problems and how to use resources of Spring security implementing OAuth protocols,['I copypasted the key in httpjwtio and it looks like a legit key with base64 encoded signature So the key is encoded correctly  there might be something missing maybe in the client side not in the producer side thank you im reading that tutorial mulumesc Vreau s spun eti binevenit  I am Italian living in Romania since 2012  prego @marcosbarbero Good morning I have just tried in order to isolate the problem to use directly your resource server and I have used my public key Guess what Same issue error invalidtoken errordescription Cannot convert access token to JSON  I will do some more digging later after work Just out of curiosity those oauth2 tables in the database are needed even though our state is represented by the the jwt token itself since its supposed to be stateless architecture. I am using Java 11 but this should be the less probable thing Thank you in advance Have a great day Andreas TBH this is stuff I found out the painful way Its possible that easier ways of customizing this behaviour exist If so Id be more than happy to hear about it  The token enhancer is for the opposite side Yes I used the token enhancers in the token server. I just did not know where to tell the resource server as yo usaid about this info  I just tried once this on RS side which obviously didnt do anything right now I think in order you need to get the token converter to get up and running. Im updating and restructuring our POM to get back in springjwtsecurity and back in security. I wonder whether there is some spring librarystarter that already brings it along that brings along it is already bringing it along. I think there is an issue with an o auth2 bridge library that I am facing using o2oconic library. I want to reference as few dependencies as possible prior to prior to our changes is brought by the Oauth2 autocon2 library. We have no custom auth server so we have to use the OAuth2 token converter. In order to get this picked up we need to publish your own bean using the custom converter using the Bean TokenStore. We need to add the roles in the authorization server since by default they are not added However my resource server when the data are processed by the oAuth2 filter are stripped Just the username and the authorities reach the controller. The spring default is DefaultAccessTokenConverter which only extracts the authorities which is what you experience. The TokenEnhancer is not the correct thing to use I also stumbled over this n resource server side you need a customized JwtAccessToken converter.'],452,736,11416,52,219.54,15.51,0.30,Topic,Libraries,2015,Security,,
survivejs/maintenance,https://gitter.im/survivejs/maintenance,Members discuss about the development of the Survivejs project; specifically regarding the maintenance of the information for the book offered by them - https://survivejs.com/maintenance/preface/,['Yeah  theres always some ramp up time with jobs new systems to learn. Im trying to do some small edits now and now sure what to do with this part Ill just continues with small edits and then we could split and rewrite descriptions Good idea about two chapters 1  Higerlevel testing isnt needed for most OSS i want to get the webpack book into good shape before doing a sprint on this one Need help Though Im not a webpack user now  you could have a quick look its simpler now ill also get some feedback from tobias Will try after I finish the testing chapter ill come to Berlin on 14th first a festival and then a month gig Awesome so i have there till around 18th of April Whoa its a very good thing yeah the client will take most of the time but still nice I hope the weather will be better Its 8 now 8 is fine 30 in Finland this week Haha Also integration testing says that the scope is larger I believe its smaller  So we test several modules together but not yet the whole app ok great to clarify 1  ill poke michael about the chapter once the edits are done But acceptance E2E is not super clear to me  I mean in general not in the book  i also had a chance to play with webhooks They feel too close npm web hooks are a good addition theres a little tool for managing them so you can subscribe to package publications and so on Awesome I know nothing about that thats how React Finland renders Nice I guess I should use that to update the docs on Styleguidist site the API contains a webhook that triggers when i push content And not fetch them from master all the time then it restarts and does npm update thanks to semver it gets the new content then it triggers netlify build another hook so if i edit site content through github ui it should go through these you could do this for docs etc super nice way to manage Cool Once you write a chapter for the book I can try it  yeah it fits well Writing this for my team httpsgistgithubcomsapegindaa2af49e0c606007e5c7f29f8b41986 1  any thoughts on httpblognpmjsorgpost171556855892introducingnpmciforfastermorereliable  httpswwwredditcomrjavascriptcomments940313improveyourjavascriptprojectswithsurvivejs @bebraw ive never used nor heard of npmci i think yarn is too far in the lead for a little bit of speed to make people care about another manager id almost take yarn over npm installs simply because of the better illustrated install progress but i prefer the quickstart of writemycode but i have used this a couple of times now.'],447,13,1749,10,174.90,134.54,13.45,Project,Products,2017,Software documentation,Software maintenance,
TestAndCode/Lobby,https://gitter.im/TestAndCode/Lobby,This group replicates the conversation conducted at a Slack workspace (https://testpodcast.slack.com). Therewith; the data from Gitter is messy - a single userID post all the interactions from Slack; that were originally posted by different users.  In any case; members discuss about test frameworks for Python. The group also has a podcast related to this theme,"["" unit usually one class or function in a single runtime environment. Integration multiple runtime environments typically involving a server and client of some kind. Endtoend the entire flow from client to DB these often utilize Selenium or Appium but dont have to. Chris NeJame Test Podcast you can think of fixtures as nongreedy by default meaning they only run when requested. David Arch Test Podcast Ourapi is basically built around marshmallow takes json as I out and gives json as output. Brian Okken Test Podcast There are no agreed upon definitions for unit test integration test system test end to end test etc. Chris\xa0Jame\xa0Test Podcast I may be jumping into the middle of a conversation with not enough background but oh well Brian\xa0Okken\xa0test Podcast I should probably finish that thinking face emoji David Arch test Podcast These are just some sort of integration tests I would say unit test but they have some mocks Chris Ne jame test Podcast integration tests involve more than one runtime event David Arch  Test Podcast We have integration and system tests. I dont know whats the diffrernce yet really Chris Nejame Test podcast An important distinction is that while integration tests dont necessarily depend on a DB unit tests 100 do not use a DB David Arch Tests Podcast Different people uses different name for the same thing relates to tests Chris Ne Jame Test\xa0Pundit Chris Neje Test Podcast I think of distinctions between unitintegrationsystem and integratione2e as more about who the beneficiary of the tests is unit should be for developers they write them to make sure they didnt make mistakes integrationsystem is for end users or the folks who care about them as part of their job  Dima Spivak Test podcast I dont really care to separate integration vs system usually a simple endtoend test is essentially an integration test and a system test Chris Ne\xa0James Test Podcast Not sure if any of the categories of tests have agreed upon the definitions of the other categories other than that if they have agreed on the definitions. Chris Jame\xa0test\xa0pundit\xa0Chris Nejames Test\xa0 Podcast What makes it so you can have multiple tests in a test\xa0project\xa0is that you can do the entire package or even an entire module or even even even a whole project as a whole. Chris Njame\xa0 test\xa0 Podcast\xa0I would say the industry has not agreed upon\xa0the definitions of a whole\xa0project as a\xa0 whole\xa0industry\xa0but oh well I'm not sure if there are any agreed upon definition of unit tests.""]",418,24,11000,29,379.31,458.33,15.80,Topic,Principles and practices,2017,Testing,Coding,
thephpleague/tactician-bernard,https://gitter.im/thephpleague/tactician-bernard,"Members discuss the implementation and maintenance of the a library: ""queueing command bus plugin for Tactician based on Bernard"". Tactician is a command bus library and Bernard is a plugin that provides tools for both sending commands to and consuming from a queue. They just exchanged 27 messages in total (25 in 2015 and 2 in 2018)","[""There is absolutely no need for multiple command classes for one command. The only requirement is that you implement BernardMessage interface which AFAIK only contains a getName method. Instead of creating a command wrapper which would have increased the necessary serializing we just require the Message interface to be implemented which also marks that it should be sent to Bernard if the queue middleware is in the chain. Anyone around who can provide some insight into getting bernard and tactician hooked up properly seems like im going around in circles just trying to make sense of how this was designed to work Hi Sam Here is an example I used as a demo at a conference in 2016. I am in favor of the latter @rosstuck favors the first option thats why both is available  Gotcha wasnt clear to me how the SameBusReceiver worked when I first looked Makes a lot more sense now. I would rather let the user choose the way so command wrapping should be a choice of the user. Actually the QueuedCommand would have to implement Message interface for it to work Thats why I want to make it another command Yep it would So you just proxy getName to the wrapped command. I'm thinking about adding a compatibility command for those who want to use it since you can check for your queuedcommand instance just make it final. But we would still need receivers to register the bus as a handler for the message and that overhead is not necessary when someone wants to use the same bus for the consumer side. True makes your middleware something like this probably httpsgistgithubcomchrisguitarguyf0d59a4146b406191462 this gitter thing is badass this my first time using it  just swiches where the queued command is used Anyway thanks for the help I wouldrather let theuser choose the how so commandwrapping should be an option. I believe bernards devmaster changed since then so might have to lock to a bit earlier version  so might need to locked to an earlier version of the code. \xa0I believe bERNard devmasterchanged since then  so may have toLock to abit earlier version\xa0of the code   \xa0\xa0I\xa0m not sure if it is possible to have a single command and simple not care whether it happens now or later when calling bushandlenew DoStuff \xa0or if its possible to just not care about when it happens.   I\xa0would rather not care\xa0whether\xa0it\xa0occurs\xa0now\xa0or\xa0later\xa0when calling bus handlenew\xa0DoStuff\xa0or \xa0doStuff. Iâ€™m a bit confused on whether one would have two versions of the same command one for queueing something up another for actually doing the thing I see.""]",432,5,54,31,1.74,10.80,0.35,Project,Libraries,2015,Service-oriented architecture,,
twbs/bootstrap,https://gitter.im/twbs/bootstrap,Members discuss hints; problems and how to use the Bootstrap framework. Page on GitHub - https://github.com/twbs/bootstrap,"['Hatsh Online file encryption using the WebCryptoAPI. How to create telegram ads bot. Peak Fullwidth landing page Countdown display slider. The code is based on the Mustache js template engine. It uses the epubjs library to create the landing page. It also has a countdown slider and a dropdown calendar to pick the date. The site is hosted on Github and can be downloaded from the following URL: http://www.downstateeducontacthtml.com/code/codepenioRiederleepenRvKrpr. For more information on the codepen project, please visit:\xa0http://codepinio.org/. For more details on the telegram ad bot, visit:http://telegram.org/telegram-ad-bot. For the full list of features on the Telegram adbot, please go to:\xa0www.telegramad-ad.co.uk/Telegram-Ad-Bot. For a tutorial on how to create an ad-based website, visit www.tlegram.com. For an example of how to use a drop-down calendar, see:\xa0httpswww.tldr.com/. For a demonstration of how a drop down calendar works, visit http://tldrs.org.uk/. For an explanation of the use of the Web CryptoAPI, please see: \xa0https://wwwbreadandlifeorg/WebCryptoapi.php/Web-Crypto-API.php. For\xa0a demonstration of online file encryption, please check out:\xa0 https://www-web-crypto-api.org\xa0/Webcrypto API.php/. For\xa0 a tutorial about file encryption on the Web, please click here:\xa0://www\xa0www-tech-world.com\xa0/webcrypto.php?url=http://www.-tech\xa0world.co/web- encryption.php\xa0/ Web- crypto- encryption\xa0on the Web.html\xa0on\xa0the\xa0Web\xa0Crypto API is a way to encrypt files with the WebcryptoAPI using the webcryptoapi API. For example, the following code is used to encrypt documents on the web:\xa0 http://web-tech.tech.world/blog/webCryptoAPI.html/. For the same reason, I\xa0would like to\xa0encrypt\xa0images\xa0on this site\xa0with\xa0the WebCryptaAPI, but I\xa0canâ€™t find a way of doing so.']",223,8946,17296,47,368.00,1.93,0.04,Topic,Frameworks,2015,Graphical user interface,Mobile development,
username-availability-checker/Lobby,https://gitter.im/username-availability-checker/Lobby,"Members discuss the development of a tool for checking if a username can or cannot be taken on a bunch of popular social websites (such as Twitter; Instagram; Soundcloud; Github etc.). ""Try it out at: https://username-check.herokuapp.com/"". Github (https://github.com/manu-chroma/username-availability-checker)",['@manuchroma @jayvdb can you review PR the project was not maintained too long wating for review. @seeeturtle I apologise for not replyingreviewing lately Been very busy lately No problem wink  i merged your raw literal PR thank you for doing good work  you can feel free to merge PR as minor as this one feature additions however should be reviewed you should try contributing to some other open source projects which interest you or create a new side project smile  yup ive already created side project which is made with golang  Nice You might like to also cobtribute to httpgithibcomadtaccommento which is golang. @ manuchroma maybe invite to this room the other gci students who worked on this tool. httpstravisciorgmanuchromausernameavailabilitycheckerbuilds master failed. @manuchromeo   I have added couple of people who have contributed to this project in the past. Feel free to discuss help around with PRs and generally do whatever you feel like in this room P  Nice Thank you to all    httpst Travisciorg manuchromusernameavailability checker build failed.  I think 96 is urgent issue because we cannot know the detail reason and whether the test is randomly occured or it is bug from travis log.  \xa0 \xa0 Ive reopened   coalacoalabears1104 but it seems to be stale how can i solve this problem dont use quotes bear ummm sorrry yea need to use multiline docstrings but yea coalacoaalab Bears1104 is a very deep rabbit hole if you want to try im happy to assign it to you but probably better to use multi-line docstrings here get your username PRs merged then go work on that issue sure ill try to solve the problem @jayVdb send pr 102  rebased a lot in 96  it passed the test but it still have a problem there are too much dump files shown in travis ci i think the log shoulnt be shown in the travis i instead we can make the test more detail and use the dump files just for debugging @jay VDB can you tell me how to use ramlient currently traveling but reviewed one tentative approval as it still has failing checks which should be fixed by a rebase but please do that rebase so that it is verified as successful that makes the reviewers job easier and patches merge sooner.'],380,8,351,2,175.50,43.88,21.94,Project,Tools,2018,Security,,
uttesh/pdfngreport,https://gitter.im/uttesh/pdfngreport,"Members discuss the development and maintenance of pdf report plugin library written for testng/selenium frameworks. ""This listener will generate the pdf report on testcases execution; its very simple to configure no need to write any code"". Project on GitHub: http://uttesh.github.io/pdfngreport/. They exchanged 27 messages from July 2015 to February 2018","['hi uttesh when i am trying to run on my project its giving error XTSE0010 Attribute @textalign is not allowed on element on xslt file please help me what is the cause of this error as reportxsl has this line on line no 32 please find error trace below. Hi Uttesh I am getting this error while generating report using Maven comutteshpdfngreportexceptionHandlerReportException Failed generating PDF report Caused by javalangStringIndexOutOfBoundsException String index out of range 1 can you please look into it I am not able to figure it out @rohinegi548 could you please provide me more information is the sample code is working fine   @kambojah check your system of report and is working sample is working. Unfortunately Unfortunately Unfortunately the new new in automation gives me the same error in automation. I am sorry for my stupid question and sorry for the question but what are the steps that are that must be followed if I want to use this perfect report in existing maven project. Asking for help is easy because I just edit my pomxml file by adding dependencies and adding testngkambo also add my testngngkjava file to testetc to the table in the report. Is there any way that I can add few more columns Description of the test etc to the report in the testetc? If so, please send an email to uttesh@mailonline.co.uk with the subject line â€œI want to remove seconds from system date which is used to name the pdf fileâ€™. I also want to know how can I rename the report name. My goal is to overrite the pdf report with the new one  @taddeuz you should change in the pdfngreportproperties file httputteshcompdfngreport ie pdfreporttitletext property value change to any name u want  @abhianni all configurable properties are there in pdfng Reportproperties file http://www.taddesh.com/pdf/report/titletext.php?titletext changes only the title in the PDF not the filename. If you want to change the file name manually will kept that in change for the next release thanks @uttesH Ok thank you Would be great if its changeable. But pdfreport titletext changes  the title  in thepdf not the name in the\xa0report\xa0in the\xa0pdf.']",354,18,44,31,1.42,2.44,0.08,Project,Libraries,2015,Software testing,,
